title,title_id,genre,authors,weekdays,length,subscribers,views,likes,status,synopsis,rating,year
"I Shall Disappear, Grand Duke",9054,ROMANTIC FANTASY,"cel, Podomaru",THURSDAY,Short,24210,201442,6567,ONGOING,"Satu-satunya lelaki yang memberi Yulia sehangat di masa kecilnya kini telah menjadi pahlawan perang sekaligus pria tampan yang dikagumi semua orang. Ketika tahu bahwa ia akan menikahi pria tersebut, Fernand, Yulia mengira cintanya memang sudah ditakdirkan. Namun Fernand tak mengenalinya, tak menyukainya, dan menolak untuk berbicara maupun berinteraksi dengannya. Cinta Yulia kepada Fernand perlahan memudar, namun di saat ia bertekad untuk menceraikan Fernand dan menghilang dari hadapannya, Fernand malah…",5,2025
Bayangan Difraksi,9052,SLICE OF LIFE,moccamanjuu,"MONDAY, WEDNESDAY",Short,14831,333083,16787,ONGOING,"Udah beda agama, beda suku pula, tapi kok Radith dan Tania makin deket aja?! Di tengah persiapan lomba Festival Band, keduanya malah harus menata perasaan masing-masing. Satu band, satu panggung, tapi dua hati yang (mungkin) gak seharusnya saling jatuh. Apalagi kalau sampai yang lain tahu… bisa berabe!",5,2025
I Decided Not to Pretend I Don't See It Anymore,9051,ROMANTIC FANTASY,"Lee Jae Hyun, DAMA, Yulbi","MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SATURDAY, SUNDAY",Short,42221,1291400,46429,ONGOING,"Ophelia Heavenwalker hidup dalam pernikahan yang awalnya ia kira bahagia… hingga ia memergoki suaminya, Stien, berselingkuh dengan wanita bernama Ariel Green. Pengkhianatan itu menghancurkannya hingga ia jatuh sakit dan akhirnya meninggal. 

Namun tak disangka, Ophelia malah terbangun kembali ke tiga tahun sebelum kematiannya, tepat saat Stien pertama kali membawa Ariel ke rumah mereka! Kali ini, Ophelia bukan lagi istri naif yang mudah percaya. Dengan ingatan tentang masa depan yang tragis, Ophelia bertekad menggunakan kesempatan kedua ini untuk membalas dendam, merebut kembali hidupnya, dan menghancurkan dua orang yang telah mengkhianatinya!",5,2025
That One Kid in Class,9050,DRAMA,YOUNG ONE,SATURDAY,Short,7082,90240,6364,ONGOING,"Di semua kelas pasti ada satu anak yang dianggap 'unik' oleh teman-temannya. Kalau nggak ada, mungkin kamu orang unik tersebut? Mulai dari kisah cowo alpha gadungan sampai pacar rapper berjiwa hip-hop sejati, inilah kisah-kisah murid unik di sekolah yang mungkin juga ada di sekitarmu!",1,2025
The Top Assassin in Another World,9049,FANTASY,"akym, Kazuki Amamia",FRIDAY,Short,16647,117856,7568,ONGOING,"Kai Shinjo hidup dengan dua wajah: Seorang siswa SMA biasa sekaligus pembunuh bayaran mematikan. Hidupnya berubah total ketika seluruh siswa di kelasnya tiba-tiba ‘dipanggil’ ke dunia lain sebagai calon pahlawan untuk mengalahkan raja iblis yang kejam.

Di dunia baru itu, setiap siswa mendapatkan kekuatan yang hebat… kecuali Kai. Ia hanya mendapat skill sederhana bernama kepekaan yang membuatnya diejek sebagai yang paling tidak berguna. Namun, mereka tidak tahu satu hal bahwa insting pembunuh bayaran Kai membuat skill itu menjadi senjata paling berbahaya. Dengan kemampuan membaca musuh secara akurat dan mematikan, ke mana kekuatan Kai membawanya?",3.1,2025
Proof of Dignity,9047,DRAMA,"yum.m, Juckrok",WEDNESDAY,Short,7997,63710,7617,ONGOING,"Kwak Gunyoung, seorang anak dan ayah yang dipenjara ini menyadari bahwa di dunia yang tidak adil ini, ada tuntutan khusus dari anak keturunan orang berada.
Seperti anak jaksa dan keluarga terpandang yang selalu diharapkan menjadi anak yang memberikan ""lebih""; Lebih pintar, lebih sopan, hingga masa depan yang lebih cerah.
Sebagai anak dari keluarga ""rendahan"", ternyata Gunyoung merupakan anak genius yang jauh lebih pintar dari anak seusianya.
Bagaimana Gunyoung menjalani kehidupan ""tidak adil""nya itu dengan bakat yang ia punya?",1.31,2025
Taming the Arrogant Grand Duke,9046,ROMANTIC FANTASY,"ANDO, Nanal, NUHAEBOM",TUESDAY,Short,25508,362193,12036,ONGOING,"Tak cukup kehilangan keluarga dan statusnya gara-gara istri baru mendiang ayahnya, Shayla juga akan dinikahkan dengan bangsawan tua bangka! Untuk menghindari hal tersebut dan merebut kembali haknya, Shayla membuat kesepakatan dengan putra mahkota untuk mendekati Grand Duke Visence. Namun, hubungan yang harusnya hanya terjalin selama satu malam tak berakhir begitu saja. Mengapa Visence tiba-tiba terobsesi dengannya?",4.53,2025
The Stand-in Daughter Wants to be Free,9044,ROMANTIC FANTASY,"Kayoko, Kayanagi Kazuha, Emori Yui",SUNDAY,Short,14252,106752,7192,ONGOING,"Nina Lindra adalah seorang penyihir muda berbakat yang sering menyamar sebagai saudara angkatnya, Liria Lusto, saat ujian demi membalas budi kepada keluarga yang telah mengadopsinya. Keadaan menjadi rumit ketika Raja memerintahkan Keluarga Lusto untuk menyembuhkan Pangeran Erland yang jatuh sakit.

Karena kemampuan sihir penyembuhan Nina jauh melampaui Liria, dia pun terpaksa harus menggantikan Liria dalam menyembuhkan sang pangeran. Seiring berjalannya waktu, dia perlahan menemukan kehangatan yang tak pernah dia duga muncul dari balik sikap dingin sang pangeran. Namun, sampai kapan kebohongan ini bisa dia pertahankan?",2.42,2025
The Otherworldly Genius Method Actor,9043,FANTASY,"HaeGa, jungseongmanyeo, JANGTAN",SATURDAY,Short,23875,354384,18002,ONGOING,"Setelah resign dari pekerjaannya sebagai desainer, Kang Woojin berniat untuk pergi bekerja sekaligus liburan ke Australia. Namun, takdir ternyata membawanya ke profesi aktor. Walau tidak punya pengalaman berakting sama sekali, Kang Woojin bisa menampilkan akting yang sangat nyata berkat kemunculan sebuah 'kotak hitam'. Kariernya sebagai aktor pun mulai naik, tetapi apakah ada harga yang harus dibayar sebagai ganti dari 'jalan pintas' itu?",3.62,2025
No Obsession for Yureia,9042,ROMANTIC FANTASY,"gurujyu, stu.neulbom, YunYeoeum",FRIDAY,Short,37130,575141,27339,ONGOING,"Setelah berhasil keluar dari dunia novel yang kubaca dan kembali menjalani kehidupan asliku, aku malah kembali masuk ke dalam dunia novel tersebut untuk kedua kalinya. Namun kini aku merasuk ke tubuh karakter lain… Yureia Cratia! Dengan identitas baru sebagai Yureia, aku bertekad untuk merebut kembali serikat dagang yang sudah kubangun dengan susah payah dan mengungkap siapa pembunuhku saat aku masuk ke dalam novel pertama kalinya. Tapi semakin dicari, semakin banyak pertanyaan yang muncul. Bisakah aku menguak misteri ini sembari menyembunyikan identitasku?",5,2025
Unrefined Love,9041,ROMANCE,UJJA,THURSDAY,Short,48278,775753,30451,ONGOING,"Saat duduk di bangku SMA, hati Yeoreum pernah dihancurkan oleh cinta pertamanya, Ji Suyeong. Setelah sekian tahun berlalu, Yeoreum yang sudah berhasil move on tiba-tiba diguncang kembali oleh kehadiran Suyeong, yang membatalkan pertunangannya dengan wanita lain dan menyatakan cinta pada Yeoreum! Awalnya Yeoreum ragu, tapi pada akhirnya ia memutuskan untuk berkencan dengan Suyeong selama satu tahun… untuk balas dendam dan menyakitinya! Namun sebenarnya, perasaan Ji Suyeong padanya menyimpan rahasia…",5,2025
Belated Regrets,9040,ROMANCE,"RedpeachStudio, siwoli",WEDNESDAY,Short,14064,134699,4907,ONGOING,"Kim Jiwon dikenal sebagai perempuan “pengoleksi sampah” karena selalu jatuh cinta pada pria yang salah. Kali ini, “sampah” terbarunya adalah Lee Dokyeong, bosnya yang tampan, tetapi manipulatif. Suatu hari, keduanya menghabiskan malam bersama dan Jiwon berharap perasaannya bisa hilang setelah itu. Namun, semuanya justru menjadi rumit. Di antara rasa sakit dan penyesalan, Jiwon perlahan menyadari bahwa cinta yang dia pertahankan mungkin tidak seharusnya dipertahankan.",2.89,2025
Breakers,9039,FANTASY,"DDTT, JDL, Chwiryong",TUESDAY,Short,12337,99466,6802,ONGOING,"Sesuai namanya, Joo Ingong berhasil menjadi 'tokoh utama' dalam sebuah game!
Dalam game tersebut, dia bermain sebagai Pangeran Shutra, anak ke-9 dari raja iblis. Namun, di masa genting, dia tidak berhasil menemukan tombol untuk keluar dari permainan dan berakhir pingsan di dalam game tersebut. Apakah dia harus melanjutkan kehidupannya sebagai tokoh di dalam game? Atau sebenarnya ada cara untuk keluar dari permainan tersebut?",2.95,2025
The Villainess Is a Marionette,9038,ROMANTIC FANTASY,"manggle, Hanirim","MONDAY, WEDNESDAY",Short,66403,1531442,83224,ONGOING,"Benarkah kecantikan tidak bisa menjadi kekuatan sejati?

Kayena Hill yang dinobatkan sebagai putri tercantik di kekaisaran berakhir dikhianati oleh Regef Hill, Sang Kaisar sekaligus adiknya sendiri. Rupanya, selama ini Regef hanya memanfaatkan Kayena sebagai 'boneka'-nya demi meraih posisi kaisar!

Tidak ingin mengulang kesalahan yang sama, di kesempatan keduanya ini Kayena memutuskan untuk memanfaatkan kecantikan dan informasi yang dia ketahui dari kehidupannya di masa lalu untuk meraih kebebasan. Bisakah Kayena terlepas dari intrik kekuasaan dan pengaruh keluarga kaisar?",3.7,2025
Mia is Back,9029,ROMANCE,"MUMx2, Mikan_Kiwi",SUNDAY,Short,24713,205011,14169,ONGOING,"Cha Mia dan Han Taesu pernah menjadi sepasang kekasih di masa sekolah. Keduanya pribadi yang tenang dan penyendiri, hingga mereka selalu bersama di perpusatakaan dan berbagi kasih dalam diam di mata publik.
Namun cinta mereka harus kandas setelah Mia pergi tanpa sepatah kata apa pun, hingga Taesu harus mengubur perasaannya dan bangkit dengan menjadi seseorang yang ""perhitungan"".
Di saat hidup Taesu berjalan secara monoton, Mia kembali hadir dalam hidupnya dengan penampilan yang jauh berbeda.
Tak hanya itu yang mengejutkannya, tapi juga pernyataan Mia, ""Ayo kita hidup dengan pura-pura saling tidak mengenal.""",5,2025
Don't Breathe,9028,THRILLER,"DrawingChanggo, Rince",SATURDAY,Short,10599,128882,14718,ONGOING,"Kang Suyoung, seorang atlet renang yang harus mengubur masa depannya yang masih panjang karene kecelakaan mendapatkan liburan di kapal pesiar gratis berkat sang adik. Liburan itu terasa aneh sejak adanya para elit yang mulai batuk-batuk karena efek samping dari vaksin.
Siapa sangka, ternyata efek sampingnya tak hanya sampai situ, tapi juga mengubah para manusia itu menjadi monster.
Sebenarnya apa yang terjadi? Apa yang harus dilakukan saat para monster ini mengejar?!",3.85,2025
Office Romance Contract,9027,ROMANCE,"WOOL, MUTAK",FRIDAY,Short,26789,282239,14532,ONGOING,"Seoyoon adalah seorang wanita yang mendambakan rupa indah. Bahkan jika harus memilih, ia akan memilih orang rupawan dibandingkan uang sejumlah 10 miliar.
Karena bekerja sebagai asisten seorang bos besar, suatu hari ia mendapatkan telepon bahwa sang bos mabuk berat. Siapa sangka hari itu membuat dirinya bisa menyambut mimpi siang bolongnya untuk berpacaran dengan seorang pria tampan rupawan?",5,2025
Moonrise by the Cliff,9026,ROMANTIC FANTASY,"JYL, Hyeon Minye",THURSDAY,Short,13014,110111,5719,ONGOING,"Samwol adalah gadis miskin yang menyamar menjadi laki-laki penjaga demi menggantikan sang ayah yang sakit dan tak lagi mampu bekerja. Samwol menjadi penjaga mantan raja yang diasingkan, yakni Hwan. Bagi banyak orang, Hwan adalah sosok raja tercela yang pantas dilupakan. 

Namun, bagi Samwol, dia hanyalah pria kesepian dan hangat. Dari percakapan sederhana di tepi tebing, keduanya perlahan saling membuka hati. Akankah cinta yang tumbuh di tempat terlarang itu membawa kebahagiaan…?",3.4,2025
Love Me More,9025,ROMANCE,Kim Injung,WEDNESDAY,Short,7574,140294,4470,ONGOING,"Walau dianugerahi dengan paras yang cantik, Lee Bom kerap merasakan kekosongan dalam hatinya. Dia berusaha mengisinya dengan perhatian dan cinta dari orang-orang di sekitarnya, tetapi dirinya masih belum puas. Hingga suatu hari, dia kembali bertemu dengan Seo Jaehyeon, pria yang dia temui saat kabur dari rumah. Di saat yang sama, Bom juga sedang dijodohkan dengan Kwon Wooil, pria dari keluarga konglomerat yang dipilih oleh ibunya. Kepada siapakah hati Bom akhirnya terpaut? Apakah salah satu dari dua pria itu yang akan mengisi kekosongan dalam dirinya?",2.7,2025
Awakening Evil,9024,ACTION,Kim San,TUESDAY,Short,12123,102442,8928,ONGOING,"Selama 19 tahun, Han San hidup dan dibesarkan di sebuah kuil milik sekte sesat yang bersekongkol dengan geng mafia. Suatu hari, hidupnya hancur ketika kakak perempuannya disakiti oleh geng tersebut karena gagal melahirkan seorang anak yang disebut “perantara dewa”, kekuatan mistis yang diyakini dimiliki oleh Han San dan kakaknya.
Peristiwa itu membangkitkan ‘iblis’ di dalam diri Han San, iblis dengan kekuatan besar yang begitu dahsyat hingga sulit ia kendalikan sendiri. Namun, Han San bertekad menggunakan kekuatan itu untuk membalas dendam kepada sekte dan geng mafia yang telah membuat hidupnya menderita selama ini!",3.15,2025
"What a Bountiful Harvest, Demon Lord!",9020,FANTASY,"Yeo kanghyun, Lee hyunmin, BK_Moon",MONDAY,Short,19641,229666,28563,ONGOING,"Ketika Kim Jangcheol, mahasiswa jurusan pertanian yang malang, mulai memainkan MMORPG fantasi “Paladins of Blood” untuk melepas penat, ia tak pernah membayangkan akan berakhir di dalam game tersebut, apalagi menjadi bos terakhirnya, Raja Iblis Credos! Kalau ia menginvasi dunia manusia, ia akan mati di tangan sang karakter utama. Tapi jika menyerah, ia akan dibunuh oleh Empat Jenderal Besar. Maju kena, mundur pun kena… lantas apa yang harus dia lakukan untuk menaklukkan hati para bawahannya? Mungkin bercocok tanam jawabannya!",3.8,2025
Gourmet Gaming,9019,FANTASY,"COGE, Park Mingyu",SUNDAY,Short,21597,227560,27169,ONGOING,"Kang Minhyuk, seorang anak dokter yang hidup tanpa kekurangan dalam hidup dan dirinya, termasuk... berat badannya yang terus bertambah.
Minhyuk adalah seorang penderita penyakit langka bulimia, di mana dia tidak bisa merasakan rasa kenyang meski sudah makan terus menerus.
Sang dokter yang menanganinya menyarankan game VR Athenae yang sedang marak saat ini, di mana pemainnya bisa merasakan sensasi dan cita rasa makanan pada game itu saat memainkannya.
Bisakah game ini menjadi cara terakhir untuk menangani penyakit Minhyuk?",3.5,2025
"Thus, I Married the Monster Twice",9018,ROMANTIC FANTASY,"redgru, moseoli, Sung Hyerim",SATURDAY,Short,40212,472469,20136,ONGOING,"Dianne yang berpikir dengan membuka tali kekang Giscar akan menyelamatkannya, ternyata pilihannya itu menjadi bumerang pada kehidupannya dan keluarganya.
Giscar kembali setelah memenangkan perang dan membunuh seluruh keluarganya. Tak hanya itu, dia juga membelenggu Dianne dan menyiksanya tiap malam hingga ia tak tahan lagi dengan kehidupannya yang seperti neraka.
Bermaksud menyudahi belenggu itu dengan mengakhiri hidupnya, ternyata Dianne malah terbangun dengan kehadiran Giscar kecil. Sebenarnya apa yang terjadi?!",5,2025
Cintaku Rahasia Umum,8868,SLICE OF LIFE,_Daebvinci_,"MONDAY, THURSDAY",Short,5553,73308,10377,ONGOING,"Elleanor adalah siswi teladan yang hanya tertarik dengan belajar. Namun setelah bertemu dengan Nyle, ketertarikannya perlahan mulai berubah. Elleanor selalu menyangkal perasaannya, tetapi semua orang di sekitarnya sebenarnya sudah tau kalau Elleanor dan Nyle itu...",3.27,2025
Convenience Romance,8867,ROMANCE,maghfirare,FRIDAY,Short,67212,1322622,105450,ONGOING,"Dara, seorang gadis yang hanya memimpikan kuliah dan hidup yang stabil, “kabur” dari perjodohan yang diatur keluarganya dengan bekerja sebagai kasir minimarket. Siapa sangka, bahwa bekerja di toko kecil di pinggiran kota itu mengakibatkan perubahan besar di hidupnya?",5,2025
How to Satisfy the Devil,8865,ROMANTIC FANTASY,"Antstudio, rillstudio, babybird, yusoy","MONDAY, WEDNESDAY, SATURDAY",Short,44462,1100072,65390,ONGOING,"Vanessa Blake telah bereinkarnasi 28 kali dan selalu mengingat setiap kehidupan serta kematiannya. Di kehidupan ke-29, mimpi buruk terus menghantuinya hingga suatu hari iblis muncul dan menawarkan perjanjian untuk menghapusnya. 

Namun, iblis itu menghilang tanpa jejak dan meninggalkan Vanessa dalam kebingungan. Bertahun-tahun kemudian, Vanessa terpaksa ke istana untuk menjadi salah satu calon istri Grand Duke Isaac, pria yang ternyata dirasuki oleh iblis yang pernah menolong Vanessa saat dia masih kecil dulu.",2.95,2025
How to Survive as a Maid in a Horror Game,8853,ROMANTIC FANTASY,"SINcere, SUCH, KD, KimYomYum",TUESDAY,Short,24916,212304,20042,ONGOING,"“The Murderer of Count Pfaltzgraff” adalah game horor baru yang ramai dihujat karena memiliki tingkat kesulitan yang sangat tinggi. Gara-gara iblis yang terperangkap dalam tubuh lemahnya, tokoh utama game tersebut yang bernama Adrian harus membunuh tanpa henti. Jika masuk ke dalam game horor dan merasuki tubuh Adrian, tugasmu sudah jelas kan? Namun apa yang terjadi kalau kamu malah terbangun sebagai tokoh tidak penting: seorang pelayan yang bahkan menjadi salah satu dari sekian banyak calon korban yang bisa terbunuh! Mampukah kamu bertahan hidup? ",3.7,2025
Killer Looks,8852,ACTION,Melonppoy,WEDNESDAY,Short,19038,200104,16816,ONGOING,"Jin sudah dilatih untuk menjadi killer sejak kecil. Dengan kemampuannya yang unggul dalam bertarung, persentase keberhasilannya dalam menjalankan tugas pun mencapai 100%. Namun, dia punya satu kekurangan, yaitu wajahnya yang buruk rupa.

Suatu hari, dia dikirim ke Korea untuk menyingkirkan seorang pengkhianat. Tetapi tugasnya tidak berjalan baik hingga dia berakhir tak sadarkan diri. Begitu sadar, wajahnya sudah berubah drastis berkat seorang dokter bedah plastik yang disebutnya 'Dewa Dokter'.

Dewa Dokter hanya meminta satu hal pada Jin, yakni membalaskan dendam anaknya yang mati karena ulah seseorang di sekolah. Jin pun masuk sekolah dengan identitas Jang Sejin demi menguak rahasia kematian Jang Sejin yang asli. Selain itu, dia juga harus berhadapan dengan rahasia kelam Rothschild, organisasi killer yang menaunginya.",2.8,2025
The Cleaner,8851,ACTION,ZorongE,SUNDAY,Short,14784,127173,9630,ONGOING,"Jin Yisu kehilangan kedua orang tuanya yang dibunuh oleh organisasi kriminal yang korup. Demi membalas dendam, dia pun menginjakkan kakinya ke dunia gelap dan memulai perjuangan melawan organisasi kriminal yang telah merenggut segalanya darinya. Bisakah dia 'membersihkan' dunia ini dari kejahatan?",5,2025
"I'm a Villainess, but I Won't Live Like One",8850,ROMANTIC FANTASY,"Studio wooridle, Hwang DoTol",SATURDAY,Short,61543,1113007,55942,ONGOING,"Bianca hanyalah seorang wanita bangsawan biasa dengan impian sederhana: menikah dengan seorang bangsawan dan menikmati hidup mewah. Namun, segalanya berubah ketika ia menemukan sebuah buku yang menggambarkannya sebagai antagonis… antagonis yang menghalangi kisah cinta tunangannya dengan seorang gadis jelata! Saat Bianca menyadari bahwa buku itu menggambarkan nasibnya secara akurat, ia menolak untuk menerima takdir tragis tersebut. Bisakah ia menulis ulang kisahnya?",5,2025
Part-Time Couple,8849,ROMANCE,"Sancha, CHOI YEON",FRIDAY,Short,43656,767174,24627,ONGOING,"Menikah selama 100 hari, lalu bercerai?!

Park Dain tidak pernah menyangka kontrak semacam itu akan diajukan oleh mantan kekasihnya, Kang Seojun yang kini menjadi atasannya. Terlebih lagi, tujuannya adalah demi memperpanjang hidup sang mantan. Namun, karena kondisi keluarga dan ekonominya, Park Dain terpaksa menyetujui kontrak tersebut. Akankah kontrak pernikahan sementara ini menjadi faktor penentu masa depan mereka selamanya?",5,2025
The S-Class Hunter's Peaceful Life with Monsters,8848,FANTASY,"Sonido, Team the JICK, Dagi205",FRIDAY,Short,22553,257741,28251,ONGOING,"""Nomor 17"" adalah Chimera Hunter Level S yang tubuhnya ditanam dengan 527 jenis sel monster. Selama ini, dia hidup tanpa nama dan hanya digunakan sebagai senjata untuk melawan monster. Hingga suatu hari, dia dikhianati oleh tempat eksperimennya dan tewas di Dunia Iblis. 

Namun, secara tak terduga, dia hidup kembali sebagai manusia. Memulai hidup baru dengan nama Cheon Dowoon, dia bertekad menjalani hari-harinya dengan tenang di Dunia Iblis. Tetapi, kenapa selalu saja ada monster yang mendatanginya?!",5,2025
Bisikan Dari Kegelapan,8847,HORROR,Various Artists,"MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SATURDAY, SUNDAY",Short,18129,460616,44068,COMPLETED,Sekumpulan kisah horor karya author lokal yang akan menghantuimu semalaman. Mampukah kamu membacanya sampai akhir?,5,2025
Love was Cruel,8846,ROMANCE,"RONA, RAKO, Son Yua",MONDAY,Short,88438,1750157,49655,ONGOING,"Kang Jaeha dan Shin Yewon adalah senior dan junior dari kampus yang sama, yang sempat menghabiskan malam mesra bersama. Tak sampai satu hari, 7 tahun lalu, sesingkat itu kehangatan kebersamaannya. Lalu keduanya terpisah dan bertemu lagi di suatu pertemuan perusahaan.
Tak seperti Jaeha, saat itu Yewon malah bersikap seperti tak mengenalnya dan mengatakan bahwa dirinya sudah memiliki suami dan anak saat Jaeha menyapanya dan ingin dekat dengannya lagi. Sebenarnya kenapa takdir mempertemukan mereka kembali?",5,2025
Kidnapping Mademoiselle,8845,ROMANTIC FANTASY,"Mani, Joy, CHACHA KIM","WEDNESDAY, FRIDAY, SUNDAY",Short,26087,388002,22562,ONGOING,"Regnier Cavalier adalah seorang bangsawan tampan yang terpaksa menanggung utang besar akibat tiga generasi yang hidup berfoya-foya. Suatu hari, temannya memberinya ide yang di luar nalar: menculik dan menikahi wanita paling jelek di ibu kota, Henriette Cortez, putri keluarga kaya yang baru saja mewarisi harta dari mendiang ayahnya.

Regnier awalnya menolak keras, tapi ide itu malah terlaksana karena dirinya dalam keadaan mabuk. Anehnya, Henriette malah tersenyum cerah keesokan harinya, seolah dia bukan korban penculikan. Ternyata, Henriette sendiri pun sangat membutuhkan pernikahan ini untuk kabur dari kehidupannya yang malang!

Dari situlah dimulai kisah romansa yang unik antara si pria tertampan dan si wanita terjelek di ibu kota kerajaan.",5,2025
Dangerous Delusion,8844,ROMANCE,"RedpeachStudio, CblossomA",SATURDAY,Short,61771,781247,13859,ONGOING,"Yoo Eunji, yang kini dikenal sebagai Shim Eunji, merupakan seorang pianis yang dulu berjaya dan memenangkan banyak kompetisi namun kini menghilang. Orang-orang menyebutnya 'Seorang Pianis yang Kehilangan Sayapnya', nama Eunji redup setelah kabar percobaan bunuh dirinya
Seolah dijual oleh sang ibu, Eunji harus berusaha menggoda Seo Kangwoo, Direktur Utama HC Holdings, yang dikenal tak tergapai oleh para wanita.
Takdir seperti mempertemukan mereka, ternyata pertemuan keduanya berawal sejak keduanya masih sekolah. Kini mereka bertemu lagi dalam pertemuan ""dewasa"".
Pertemuan seperti apa yang menyatukan mereka di usia dewasa ini?",5,2025
Prison Guard Zero,8827,ACTION,"rok, moveingjun",THURSDAY,Short,23546,280449,16834,ONGOING,"Han Jihoon, seorang mantan anggota pasukan khusus militer, mendapati adik perempuannya dibunuh setelah ia pulang dari tugas militernya. Hal yang lebih mengejutkan lagi, tersangka utama dalam kasus pembunuhan itu adalah tunangan adiknya sendiri, Seo Minjoon. Situasi semakin rumit ketika Seo Minjoon justru ikut terbunuh saat sedang ditahan di Penjara Yeokseon. Untuk mengungkap kebenaran di balik peristiwa itu, Han Jihoon pun menyusup ke Penjara Yeokseon dan bekerja sebagai kepala keamanan di sana. Mampukah Jihoon mengungkap misteri di balik kematian adiknya dan para penghuni penjara tersebut?",5,2025
"I'm fine, thank you, and you?",8826,ROMANCE,LEE Lightning,SUNDAY,Short,15509,194825,15027,ONGOING,"Dua orang sahabat sejak lahir, Kang Taepyung dan Gyeoul sudah bersama bahkan saat mandi karena kedekatan orang tua mereka. Persahabatan mereka membuat banyak orang menanyakan hal yang sama tiap kali bertemu mereka, yaitu ""Kalian pacaran, ya?""
Tak pernah terpikir bahwa mereka akan saling menyayangi secara romantis, mungkin sampai hari ""itu"" tiba...?",5,2025
I'll Be Anything You Desire,8825,ROMANTIC FANTASY,"AuRoRa Studio, Kim So Hyeon, Suon, Baekmyo",TUESDAY,Short,27361,312788,17485,ONGOING,"Setelah seluruh keluarganya dibunuh oleh tunangan dan sahabatnya sendiri, Roxiana hanya ingin mengakhiri hidupnya dan menyusul ayah, ibu beserta saudara-saudaranya. Namun, takdir membawanya ke hadapan Floyd Latean, Grand Duke Torkan yang dijuluki Harimau Merah Pembasmi Monster. Alih-alih memerlakukan Roxiana sebagai budak, Floyd berusaha keras untuk menumbuhkan semangat hidup putri yang pernah ditemuinya saat kecil dulu. Apa tindakan Floyd hanya sekadar bentuk balas budi? Atau ada hal lain yang membuatnya ingin gadis tersebut tetap hidup?",5,2025
Spirit Fingers: Klub Pelangit,8802,DRAMA,"moera_ara, kyoungchal han, dibadibadoodles",MONDAY,Short,49454,974642,64198,ONGOING,"Spirit Fingers yang dicintai banyak pembaca kini hadir dalam versi lokal!
Rea Ananda menganggap dirinya sebagai gadis abu-abu dengan hidup yang biasa-biasa saja. Saat dia bertemu dengan orang-orang yang tergabung dalam sebuah klub menggambar Spirit Fingers... hidupnya perlahan menjadi berwarna! Akankah Rea menemukan warnanya sendiri?",5,2025
One Portion of Youth,8801,ROMANCE,"KYMA, BOM SOHEE",SUNDAY,Short,17758,240206,27582,ONGOING,"Di era gempuran hotel-hotel ciamik, keluarga Min Hari menjalankan sebuah guesthouse yang bisa bertahan berkat masakannya yang terkenal lezat. Masalah datang ketika orang tuanya pergi berlibur dan meninggalkan Hari sendirian. Selain mengelola guesthouse, Hari juga harus memasak untuk tamu-tamu yang singgah, namun satu-satunya hal yang bisa hari masak adalah… mi instan! Saat reputasi guesthouse-nya terancam, Hari akhirnya mencari seorang bibi dapur, tapi yang datang melamar kok malah seorang pria?!",5,2025
Doctor Quest,8800,FANTASY,"nifuni, Kokeshima Kaseki, Morisaki Hiroki",SATURDAY,Short,10804,125036,12039,ONGOING,"Terlahir sebagai anak dari Direktur Rumah Sakit, Shindo Makito seharusnya menjalani hidup dengan baik. Namun, akibat ulah licik Profesor Ozawa Soji, dia berakhir kehilangan segalanya.

Tepat di saat dia mengira hidupnya sudah tamat, sebuah layar muncul dan menawarkan pilihan untuk mendapatkan kembali semua hal yang hilang darinya. Makito pun kembali ke beberapa tahun lalu dengan kekuatan spesial. Bisakah dia memperbaiki semua kesalahannya dan membalaskan dendamnya?",5,2025
My First Love Confession,8799,ROMANCE,"hee_ddok, Hoae",WEDNESDAY,Short,36093,775767,24694,ONGOING,"Sung Jiwon dan Joo Sunghyun adalah sejoli sejak masa sekolah yang saling membuka hati dan raganya untuk satu sama lain. Setelah mereka memberanikan diri untuk lebih terbuka sebagai pasangan dewasa pada satu malam, Jiwon tiba-tiba menghilang tanpa kata. Keduanya terpaksa terpisah tanpa kejelasan yang membuat hari-hari setelahnya terasa begitu dingin dan sepi.
Setelah menjalani hidup dengan hampa, ternyata takdir mengetuk hidup Sunghyun itu dengan mendatangkan Jiwon sebagai pengasuh yang kini akan mengurus keponakannya.
Akankah pertemuan mereka kembali ini membawa kejelasan untuk hubungan mereka?",5,2025
Friend Request,8798,DRAMA,Ryoung,MONDAY,Short,11326,166673,21923,ONGOING,"Min Yooni, seorang influencer kece di zaman sekarang yang selalu dibuat frustrasi oleh ibunya yang menurutnya ""payah"". Sang ibu tak punya keterampilan dan keinginan apa pun, hingga tak punya kehidupannya sendiri.
Yooni ingin mengubah kehidupan ibunya dengan mengunjungi masa muda beliau. Siapa sangka ternyata ibu Yooni juga seorang influencer kece pada masanya?!",5,2025
